Temperature (K),Pressure (bar),"Density (l, kg/m3)","Volume (l, m3/kg)","Internal Energy (l, kJ/mol)","Enthalpy (l, kJ/mol)","Entropy (l, J/mol*K)","Cv (l, J/mol*K)","Cp (l, J/mol*K)","Sound Spd. (l, m/s)","Joule-Thomson (l, K/bar)","Viscosity (l, uPa*s)","Therm. Cond. (l, W/m*K)","Surf. Tension (l, N/m)","Density (v, kg/m3)","Volume (v, m3/kg)","Internal Energy (v, kJ/mol)","Enthalpy (v, kJ/mol)","Entropy (v, J/mol*K)","Cv (v, J/mol*K)","Cp (v, J/mol*K)","Sound Spd. (v, m/s)","Joule-Thomson (v, K/bar)","Viscosity (v, uPa*s)","Therm. Cond. (v, W/m*K)"
95,0.19815,445.71,0.0022436,-0.91951,-0.9188,-8.8784,34.35,54.294,1499.1,-0.047188,171.18,0.20596,0.016208,0.40702,2.4569,6.9321,7.7131,81.984,25.345,34.084,254.39,4.2714,3.7425,0.009297
100,0.34376,438.89,0.0022785,-0.64728,-0.64602,-6.0856,33.908,54.681,1452,-0.045812,150.97,0.19956,0.015217,0.67457,1.4824,7.0469,7.8644,79.019,25.487,34.425,260.09,3.7826,3.9139,0.0098989
105,0.56377,431.92,0.0023153,-0.37306,-0.37097,-3.4096,33.5,55.135,1403.9,-0.044202,134.64,0.19289,0.014229,1.0613,0.94224,7.1582,8.0104,76.413,25.652,34.853,265.31,3.3883,4.0881,0.010528
110,0.8813,424.78,0.0023542,-0.096585,-0.093257,-0.83691,33.115,55.656,1354.7,-0.042328,120.9,0.18602,0.013247,1.5982,0.6257,7.2654,8.1501,74.103,25.842,35.378,270.01,3.0662,4.2647,0.011188
115,1.3221,417.45,0.0023955,0.18242,0.1875,1.6441,32.749,56.253,1304.6,-0.040145,109.06,0.17903,0.012271,2.3193,0.43116,7.368,8.2825,72.036,26.056,36.016,274.17,2.8004,4.4436,0.011882
120,1.9143,409.9,0.0024396,0.46425,0.47174,4.0439,32.4,56.941,1253.5,-0.037589,98.68,0.17195,0.011305,3.2619,0.30657,7.4652,8.4067,70.168,26.295,36.786,277.76,2.579,4.625,0.012617
125,2.6876,402.11,0.0024869,0.74927,0.75999,6.3722,32.069,57.741,1201.3,-0.034578,89.49,0.16483,0.010349,4.4669,0.22387,7.5562,8.5215,68.464,26.56,37.714,280.76,2.3928,4.8092,0.013397
130,3.6732,394.04,0.0025378,1.0379,1.0529,8.6383,31.757,58.684,1148.1,-0.031006,81.298,0.15769,0.0094054,5.9804,0.16721,7.6403,8.6257,66.891,26.854,38.836,283.13,2.2347,4.9972,0.014232
135,4.9035,385.64,0.0025931,1.3307,1.3511,10.851,31.469,59.809,1093.6,-0.026735,73.957,0.15055,0.0084754,7.8549,0.12731,7.7165,8.718,65.421,27.182,40.203,284.86,2.0993,5.1903,0.015129
140,6.4118,376.87,0.0026535,1.6284,1.6557,13.02,31.206,61.169,1037.7,-0.021579,67.353,0.14341,0.0075608,10.152,0.098506,7.7837,8.797,64.029,27.549,41.885,285.93,1.9819,5.3904,0.016102
145,8.2322,367.65,0.00272,1.9317,1.9676,15.154,30.974,62.84,980.17,-0.015286,61.39,0.13629,0.0066634,12.945,0.077249,7.8406,8.8608,62.694,27.965,43.985,286.31,1.8789,5.6002,0.017166
150,10.4,357.9,0.0027941,2.2418,2.2884,17.264,30.78,64.932,920.85,-0.0075032,55.984,0.12918,0.0057852,16.328,0.061246,7.8856,8.9074,61.391,28.439,46.657,285.97,1.787,5.8236,0.018344
155,12.95,347.51,0.0028776,2.5602,2.6199,19.362,30.631,67.613,859.39,0.0022798,51.058,0.12206,0.0049285,20.419,0.048974,7.9166,8.934,60.098,28.989,50.144,284.88,1.7035,6.0661,0.01967
160,15.921,336.31,0.0029734,2.8887,2.9647,21.462,30.541,71.156,795.43,0.014836,46.541,0.11493,0.0040959,25.382,0.039398,7.9306,8.9369,58.789,29.636,54.849,283.01,1.6255,6.3362,0.021197
165,19.351,324.1,0.0030855,3.2304,3.3262,23.584,30.531,76.044,728.42,0.031398,42.359,0.10774,0.0032911,31.448,0.031798,7.9238,8.9109,57.431,30.412,61.496,280.3,1.55,6.6464,0.02302
170,23.283,310.5,0.0032206,3.5895,3.7098,25.755,30.634,83.218,657.52,0.054087,38.432,0.10046,0.0025186,38.974,0.025658,7.8898,8.8482,55.982,31.374,71.527,276.66,1.4732,7.0175,0.025314
175,27.765,294.94,0.0033906,3.9734,4.1244,28.021,30.92,94.816,581.27,0.086918,34.659,0.093038,0.0017851,48.559,0.020594,7.8184,8.7357,54.371,32.615,88.273,271.99,1.3896,7.4874,0.028463
180,32.852,276.23,0.0036202,4.3965,4.5873,30.467,31.554,116.99,497.01,0.13866,30.888,0.085482,0.0011014,61.375,0.016293,7.6893,8.548,52.471,34.338,121.51,266.04,1.2892,8.1346,0.033484
185,38.617,251.36,0.0039784,4.8955,5.142,33.313,33.085,178.22,398.59,0.23397,26.784,0.078283,0.00048857,80.435,0.012432,7.4515,8.2217,49.961,37.087,217.01,258.03,1.1492,9.1786,0.044197
190,45.186,200.78,0.0049806,5.7074,6.0685,38,41.746,1508.2,250.31,0.52488,20.291,0.094152,1.77E-05,125.18,0.0079887,6.785,7.3641,44.819,45.796,2259,238.55,0.84951,12.237,0.12052
